package	upstream	copr	debian	ours	status	debian_pkg	url
fsl-cluster	-	2201.0	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/Cluster
fsl-eddy	-	2401.2	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/eddy
fsl-fabber-core	-	4.0.11	-	-	MISSING	-	https://github.com/physimals/fabber_core
fsl-fabber-models-asl	-	2.0.8	-	-	MISSING	-	https://github.com/physimals/fabber_models_asl
fsl-fast4	-	2111.3	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FAST
fsl-fdt	-	2202.11	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FDT
fsl-feat5	-	2201.7	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FEAT
fsl-film	-	2111.1	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FEAT
fsl-filmbabe	-	2111.1	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FEAT
fsl-flameo	-	2111.2	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FEAT
fsl-flirt	-	2111.4	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FLIRT
fsl-fnirt	-	2203.2	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FNIRT
fsl-fugue	-	2201.5	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FUGUE
fsl-gps	-	2211.1	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FDT
fsl-libvis	-	2111.2	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk
fsl-mcflirt	-	2111.0	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/MCFLIRT
fsl-melodic	-	2111.3	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/MELODIC
fsl-mist	-	2111.6	-	-	MISSING	-	https://git.fmrib.ox.ac.uk/fsl/mist
fsl-mm	-	2111.1	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki
fsl-oxford-asl	-	4.0.29	-	-	MISSING	-	https://github.com/physimals/oxford_asl
fsl-ptx2	-	2111.5	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FDT
fsl-randomise	-	2203.3	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/randomise
fsl-siena	-	2111.1	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/SIENA
fsl-slicetimer	-	2111.0	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/slicetimer
fsl-susan	-	2111.0	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/SUSAN
fsl-swe	-	1.1.0	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/SwE
fsl-tbss	-	2111.2	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/TBSS
fsl-topup	-	2203.5	-	-	MISSING	-	https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/topup
fsl-xtract	-	2.0.7	-	-	MISSING	-	https://github.com/SPMIC-UoN/XTRACT
fsl-xtract-data	-	2.1.0	-	-	MISSING	-	https://git.fmrib.ox.ac.uk/fsl/xtract_data
geant4	-	11.4.1	-	-	MISSING	-	https://geant4.web.cern.ch/
greedy	-	1.3.0~alpha	-	-	MISSING	-	https://github.com/pyushkevich/greedy
igsio	-	1.0	-	-	MISSING	-	https://github.com/IGSIO/IGSIO
iit-human-brain-atlas	-	NO_SPEC	-	-	MISSING	-	
InsightToolkit6	6.0.0b2	6.0.0~b02	-	-	MISSING	-	https://itk.org/
itksnap	-	4.4.0~beta2	-	4.4.0~beta2-1~noble2	OURS	-	http://www.itksnap.org
jemris	-	2.9.2	-	-	MISSING	-	https://github.com/JEMRIS/jemris
labrecorder	-	1.17.1	-	-	MISSING	-	https://github.com/labstreaminglayer/App-LabRecorder
laynii	-	2.10.0	-	-	MISSING	-	https://github.com/layerfMRI/LAYNII
libspm	-	0.1.0	-	-	MISSING	-	https://github.com/m9h/libspm
lsl-apps	-	1.0	-	-	MISSING	-	https://labstreaminglayer.org/
medInria	-	5.0.1~beta	-	-	MISSING	-	https://github.com/medInria/medInria-public
mitk	-	2025.12.2	-	-	MISSING	-	https://www.mitk.org/
mne-cpp	-	0.1.9^%{snapdate}git%{shortcommit}	-	-	MISSING	-	https://mne-cpp.github.io/
mricrogl	-	1.2.%{date}	-	-	MISSING	-	https://github.com/rordenlab/MRIcroGL
niftyreg	-	2.0.0	-	-	MISSING	-	https://github.com/KCL-BMEIS/niftyreg
niftyseg	-	0.9.5	-	-	MISSING	-	https://github.com/KCL-BMEIS/NiftySeg
open-ephys-gui	-	1.0.2	-	-	MISSING	-	https://open-ephys.org/
openigtlinkio	-	1.0	-	-	MISSING	-	https://github.com/IGSIO/OpenIGTLinkIO
opentopas	-	4.2.3	-	-	MISSING	-	https://github.com/OpenTOPAS/OpenTOPAS
opentrack	-	2026.1.0	-	-	MISSING	-	https://github.com/opentrack/opentrack
openvibe	-	3.7.0	-	-	MISSING	-	http://openvibe.inria.fr
OrcaSlicer	-	2.4.0	-	-	MISSING	-	https://github.com/OrcaSlicer/OrcaSlicer
palm	-	0	-	-	MISSING	-	https://github.com/andersonwinkler/PALM
python-babelviscofdtd	-	1.2.6	-	-	MISSING	-	https://github.com/ProteusMRIgHIFU/BabelViscoFDTD
python-brainflow	-	5.22.2	-	-	MISSING	-	https://brainflow.org/
python-bsmschema	-	0.1.1	-	-	MISSING	-	https://github.com/bids-standard/stats-models
python-charm-gems	1.3.3	1.3.3	-	1.3.3-1 (arm64)	OURS	-	https://github.com/simnibs/charm-gems
python-ephyviewer	-	1.8.0	-	-	MISSING	-	https://ephyviewer.readthedocs.io/
python-file-tree	-	1.6.1	-	-	MISSING	-	https://git.fmrib.ox.ac.uk/fsl/file-tree
python-fmm3dpy	-	2.1.0	-	-	MISSING	-	https://fmm3d.readthedocs.io/
python-formulaic	-	1.2.2	-	-	MISSING	-	https://github.com/matthewwardrop/formulaic
python-gaze-tracking	-	0.1.0	-	-	MISSING	-	https://github.com/%{gh_owner}/%{gh_name}
python-mcp-slicer	-	0.2.1	-	-	MISSING	-	https://github.com/zhaoyouj/mcp-slicer
python-monai	-	1.5.2	-	-	MISSING	-	https://monai.io
python-narwhals	-	2.22.1	-	-	MISSING	-	https://github.com/narwhals-dev/narwhals
python-nilearn	-	0.13.1	-	-	MISSING	-	%forgeurl
python-OpenSeeFace	-	1.20.4	-	-	MISSING	-	https://github.com/%{gh_owner}/%{gh_name}
python-pillow-avif-plugin	-	1.5.5	-	-	MISSING	-	https://github.com/fdintino/pillow-avif-plugin
python-py-undo-stack	-	1.1.0	-	-	MISSING	-	https://pypi.org/project/py-undo-stack/
python-pyfix	-	0.10.0	-	-	MISSING	-	https://git.fmrib.ox.ac.uk/fsl/pyfix
python-pygpc	-	0.4.4	-	-	MISSING	-	https://github.com/pygpc-polynomial-chaos/pygpc
python-pythonqt	-	4.0.1	-	-	MISSING	-	https://github.com/commontk/PythonQt
python-samseg	1.0.0	0.5a0	-	1.0.0-1 (arm64)	OURS	-	https://github.com/freesurfer/samseg
python-simpleitk	-	2.5.5	-	2.5.5-1~noble1	OURS	-	https://simpleitk.org/
python-simservice	-	0.1.1	-	-	MISSING	-	https://github.com/tjsego/simservice
python-spectrum	-	0.10.0	-	-	MISSING	-	https://github.com/cokelaer/spectrum
python-stanio	-	0.5.1	-	-	MISSING	-	https://github.com/stan-dev/stanio
python-surfa	-	0.6.3	-	-	MISSING	-	https://github.com/freesurfer/surfa
python-trame	-	3.13.2	-	-	MISSING	-	https://github.com/Kitware/trame
python-trame-client	-	3.13.2	-	-	MISSING	-	https://github.com/Kitware/trame-client
python-trame-common	-	1.2.4	-	-	MISSING	-	https://github.com/Kitware/trame-common
python-trame-rca	-	2.4.3	-	-	MISSING	-	https://github.com/Kitware/trame-rca
python-trame-server	-	3.12.5	-	-	MISSING	-	https://github.com/Kitware/trame-server
python-trame-vtk	-	2.11.12	-	-	MISSING	-	https://github.com/Kitware/trame-vtk
python-trame-vuetify	-	3.2.2	-	-	MISSING	-	https://github.com/Kitware/trame-vuetify
python-wslink	-	2.5.7	-	-	MISSING	-	https://github.com/Kitware/wslink
PythonQt	-	3.6.1	-	-	MISSING	-	https://github.com/commontk/PythonQt
qRestAPI	-	0	-	-	MISSING	-	https://github.com/commontk/qRestAPI
qttesting	-	0	-	-	MISSING	-	https://github.com/commontk/QtTesting
quit	-	3.4	-	-	MISSING	-	https://github.com/spinicist/QUIT
RPI	-	4.0	-	-	MISSING	-	https://github.com/medInria/RPI
rr-libstruct	-	2.9.2	-	-	MISSING	-	https://github.com/sys-bio/rr-libstruct
simnibs	-	4.6.0	-	-	MISSING	-	http://simnibs.org
SlicerExecutionModel	-	2.0.0	-	-	MISSING	-	https://github.com/Slicer/SlicerExecutionModel
SPHARM-PDM	-	2.0.0	-	-	MISSING	-	https://github.com/NIRALUser/SPHARM-PDM
TTK	-	4.0.1	-	-	MISSING	-	https://github.com/medInria/TTK
ucsc-kent-utils	-	492	-	-	MISSING	-	https://github.com/ucscGenomeBrowser/kent-core
vespa	-	1.0	-	-	MISSING	-	https://gitlab.kitware.com/vtk/meshing/vespa
viskores	-	1.1.1	-	-	MISSING	-	https://github.com/Viskores/viskores
vmtk	-	1.5.0	-	-	MISSING	-	http://www.vmtk.org/
vtkAddon	-	0.1.0	-	-	MISSING	-	https://github.com/Slicer/vtkAddon
xpra-html5	-	20	-	-	MISSING	-	https://github.com/Xpra-org/xpra-html5
